No.,Partner Instansi,Negara,Alamat,Jumlah Mitra,MoU,MoA,IA,Agenda  Kerjasama,Bergelar (JD/DD),TANPA Gelar,Student Exchange,Tgl Tanda Tangan,Tgl Berakhir,Tanggal Auto Renewed/No Limit/Years to come,Pendidikan Luar Negeri,Industri Luar Negeri,Organisasi Luar Negeri,Yayasan Luar Negeri,Pemerintah Luar Negeri,Faculty of Humanities and Creative Industries,,,,,,,,Faculty of Civil Engineering & Planning,,,,,School of Business & Management,,,,,,,,,,,,,Faculty of Industrial Technology,,,,,,Faculty of Teacher Education,,Faculty of Medicine,Faculty of Dentistry,Bureau,,,,,,,,,,Scope of Collaboration,,,,
,,,,,,,,,,,,,,,,,,,,English Literature,Chinese Literature,Master of Literature,King Sejong's Institute,Interior Design,Visual Communication Design,Master of Design,Communciation Sciences,Architecture,Civil Engineering,Master of Civil Engineering,Master of Architecture,Doctoral Program of Civil Engineering,Accounting,,,,Management,,,,,,Master of Management,Doctoral Program of Management,Petra Business School,Electrical Engineering,Informatics,Machine Engineering,Industrial Engineering,Master of Industrial Engineering,Food Technology,Elementary Teacher Education,Early Childhood Teacher Education,Medicine,Dentistry,,,,,,,,,,,PEMBELAJARAN ,PENELITIAN ,ABDIMAS,KEMAHASISWAAN,KELEMBAGAAN
,,,,,,,,,,,,,,,,,,,,,,,,,Digital Media,,,,,,,,Business Accounting,Tax Accounting,International Business Accounting,International Digital Accounting & Fraud,Marketing Management,Hotel Management,Business Management,Tourism Management,Finance Management,International Business management,,,,,,,International Business Engineering,,,,,,,PUSROH,PUSKAR,LPPM,PERPUST,BAKA,PUSKOM,CCIS,KUI,CEC,BPM,,,,,
1,Amsterdam Faculty of Education / EFA (Educatieve Faculteit Amsterdam),Netherlands,"Wibautstraat 2-4, Postbus 2009 1000 CA",TRUE,TRUE,FALSE,FALSE,"MoU: Facilities exchange, student exchange, staff development and exchange, collaborative projects, resource provisions",,1,,N/A (2000-2001),No Limit,No Limit,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
2,Amsterdam Faculty of Education / EFA (Educatieve Faculteit Amsterdam),Netherlands,"Wibautstraat 2-4, Postbus 2009 1000 CA",FALSE,TRUE,FALSE,FALSE,Appendix to MoU: Student Exchange,,1,1,N/A (2000-2001),No Limit,No Limit,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,"Adica Consulting, LLC, Australia",Australia,,TRUE,TRUE,FALSE,FALSE,MoU: Energy and Power Evaluation Program (ENPEP) End-user Licence Agreement,,1,,24-Jan-03,31-Dec-03,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,"Centre for Innovation and Enterprise Pty Ltd (CIE), Australia",Australia,"CAN 069 063 047
120 Collins Street, Melbourne, 3000 Australia",TRUE,TRUE,FALSE,FALSE,"MoU: 1. Graduate Certificate in Enterprise Managament
2. Graduate Diploma in Enterprenuership and Innovation
3. Master of Enterprise Innovation",,1,,1-Apr-96,end,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,CPA Australia,Australia,"28 Freshwater Place, Southbank VIC 3006",TRUE,TRUE,FALSE,FALSE,"MoU: Pengembangan profesi akuntansi, memajukan kepentingan anggota masing-masing badan, serta memberikan kontribusi untuk kemajuan profesi akuntansi secara umum",,1,,25-Feb-16,24-Feb-19,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,CPA Australia,Australia,"28 Freshwater Place, Southbank VIC 3006",FALSE,FALSE,TRUE,FALSE,"MoA: 1. promoting CPA Australia's entry pathways to FBE students studying accounting, finance and banking, and business administration degress.
2. disseminating information in collaboration with each other, to students, about the accounting and finance profession and the opportunities available to accounting professionals.",,1,,1-Oct-19,30-Sep-22,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,"Curtin University of Technology, Perth - Australia",Australia,"Kent Street, Bentley, Perth Western Australia, 6102",TRUE,TRUE,FALSE,FALSE,"MoU: Development of Academic Cooperation (Cooperate in the exchange of information relating to activities in teaching and research in fields of mutual interest; Promote appropriate joint research projects and joint course of study, with particular emphasis on internationally funded projects; Endeavour to encourage students and staff to spend periods of time in the host university (exchange students)).",,1,,25-Jan-99,24-Jan-04,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,"Curtin University of Technology, Perth - Australia",Australia,"Kent Street, Bentley, Perth Western Australia, 6102",FALSE,TRUE,FALSE,FALSE,"MoU: Development of Academic Cooperation (Cooperate in the exchange of information relating to activities in teaching and research in fields of mutual interest; Promote appropriate joint research projects and joint course of study, with particular emphasis on internationally funded projects; Endeavour to encourage students and staff to spend periods of time in the host university (exchange students)).",,1,,10-May-93,9-May-98,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
