No.,Partner Instansi,Kota,Alamat,Jumlah Mitra,MoU,MoA,IA,Agenda Kerjasama,Tgl Tanda Tangan,Tgl Berakhir,Tgl Auto Renewed / No Limit / Years to come,Pendidikan Dalam Negeri,Industri Dalam Negeri,Organisasi-Yayasan- Asosiasi Dalam Negeri,Lembaga Pemerintahan Dalam Negeri,Faculty of Humanities and Creative Industries,,,,,,,,Faculty of Civil Engineering & Planning,,,,,School of Business & Management,,,,,,,,,,,,,Faculty of Industrial Technology,,,,,,Faculty of Teacher Education,,Faculty of Medicine,Faculty of Dentistry,BIRO,,,,,,,,,,,,,,,,,,,,,,LINGKUP MOU/MOA,,,,
,,,,,,,,,,,,,,,,English Literature,Chinese Literature,Master of Literature,King Sejong's Institute,Interior Design,Visual Communication Design,Master of Design,Communciation Sciences,Architecture,Civil Engineering,Master of Civil Engineering,Master of Architecture,Doctoral Program of Civil Engineering,Accounting,,,,Management,,,,,,Master of Management,Doctoral Program of Management,Petra Business School,Electrical Engineering,Informatics,Machine Engineering,Industrial Engineering,Master of Industrial Engineering,Food Technology,Elementary Teacher Education,Early Childhood Teacher Education,Medicine,Dentistry,,,,,,,,,,,,,,,,,,,,,,,PEMBELAJARAN ,PENELITIAN ,ABDIMAS,KEMAHASISWAAN,KELEMBAGAAN
,,,,,,,,,    ,,,,,,,,,,,,Digital Media,,,,,,,,Business Accounting,Tax Accounting,International Business Accounting,International Digital Accounting & Fraud,Marketing Management,Hotel Management,Business Management,Tourism Management,Finance Management,International Business management,,,,,,,International Business Engineering,,,,,,,PUSROH,PUSKAR,LPPM,PERPUST,BAKA,PUSKOM,CCIS,KUI,CEC,BAAk,DMU,Darmasiswa,LPM,BAUK,HUMAS,UPPK,PERBEKALAN,PPB,OIA,PDI,ELTC,PTIK,,,,,
1,"Universitas Ubudiyah Indonesia, Aceh",Aceh,"Jl. Alue Naga, Kec. Syiah Kuala Desa Tibang, Banda Aceh",TRUE,TRUE,FALSE,FALSE,"MoU:
1. pengiriman mahasiswa dan/atau dosen
2. penelitian bersama
3. penyelenggaraan konferensi ilmiah internasional
4. pertukaran budaya",8-Nov-18,7-Nov-23,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2,"Politeknik Negeri Ambon, Ambon",Ambon,"Jl. Ir. M. Putuhena, Rumah Tiga ",TRUE,TRUE,FALSE,FALSE,"MoU:
1. pertukaran dosen, peneliti ahli, dan mahasiswa
2. pertukaran presentasi, bahan ilmiah, publikasi, dan informasi
3. kegiatan penelitian, publikasi, konferensi, akademik, dan kegiatan budaya bersama
4. proyek penelitian dan mata kuliah bersama",21-Jan-19,20-Jan-22,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3,"SMA Kristen Kalam Kudus, Ambon",Ambon,,TRUE,FALSE,TRUE,FALSE,"MoA: Penerimaan mahasiswa baru, pelatihan karyawan",1-Sep-14,31-Aug-15,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,"SMA Kristen Kalam Kudus, Ambon",Ambon,,FALSE,FALSE,TRUE,FALSE,MoA: Penerimaan Mahasiswa Baru 2017/2018,1-Aug-16,31-Jul-17,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,"SMA Kristen Kalam Kudus, Ambon",Ambon,,FALSE,FALSE,TRUE,FALSE,MoA: Penerimaan Mahasiswa Baru 2014/2015,20-Nov-13,31-Jul-14,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,"SMA Negeri 1, Ambon",Ambon,"Jl. Raya Pattimura 28 Sirimau, Ambon 97116",TRUE,TRUE,FALSE,FALSE,MoU: Beasiswa Ekonomi Lemah,3-Jun-10,2-Jun-11,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,"SMA Negeri 1, Ambon",Ambon,"Jl. Raya Pattimura 28 Sirimau, Ambon 97116",FALSE,FALSE,TRUE,FALSE,"MoA: Penerimaan mahasiswa baru, pelatihan karyawan",1-Sep-14,31-Aug-15,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,"SMA Negeri 1, Ambon",Ambon,"Jl. Raya Pattimura 28 Sirimau, Ambon 97116",FALSE,FALSE,TRUE,FALSE,"MoA: Penerimaan mahasiswa baru, pelatihan karyawan",7-Apr-14,31-Jul-14,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,"SMA Negeri 1, Ambon",Ambon,"Jl. Raya Pattimura 28 Sirimau, Ambon 97116",FALSE,FALSE,TRUE,FALSE,MoA: Penerimaan Mahasiswa Baru 2018/2019,1-Aug-17,31-Jul-18,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,"SMA Negeri 1, Ambon",Ambon,"Jl. Raya Pattimura 28 Sirimau, Ambon 97116",FALSE,FALSE,TRUE,FALSE,MoA: Penerimaan Mahasiswa Baru 2016/2017,1-Aug-15,31-Jul-16,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,"SMA Negeri 1, Ambon",Ambon,"Jl. Raya Pattimura 28 Sirimau, Ambon 97116",FALSE,FALSE,TRUE,FALSE,MoA: Penerimaan Mahasiswa Baru 2014/2015,16-Sep-13,31-Jul-14,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,"Universitas Pattimura, Ambon",Ambon,"Jl. Ir. M. Putuhena Kampus, Poka, Ambon, Indonesia 97116",TRUE,TRUE,FALSE,FALSE,MoU: Praktikum dan kerja praktik,15-Nov-02,14-Nov-05,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,"Universitas Pattimura, Ambon",Ambon,"Jl. Ir. M. Putuhena Kampus, Poka, Ambon, Indonesia 97116",FALSE,TRUE,FALSE,FALSE,"MoU:
1. pengiriman mahasiswa dan/atau dosen
2. penelitian bersama
3. penyelenggaraan konferensi ilmiah internasional
4. pertukaran budaya",7-Nov-18,6-Nov-23,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
14,"Universitas Pattimura, Ambon",Ambon,"Jl. Ir. M. Putuhena Kampus, Poka, Ambon, Indonesia 97116",FALSE,TRUE,FALSE,FALSE,"MoU: praktikum dan kerja praktik, penelitian bersama dosen, kuliah umum, studi lanjut, studi lanjut, dan publikasi hasil penelitian di jurnal",29-Jun-18,28-Jun-21,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
